rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
20/03/2023 09:24,2012 - 2022,1,1,London Area Airports,GATWICK,246987,250520,259962,267760,280666,285912,283919,284987,80161,55817,217622,289.884802121
20/03/2023 09:24,2012 - 2022,1,1,London Area Airports,HEATHROW,475176,471936,472802,474087,474963,475783,477604,478059,204730,195336,380305,94.692734570
20/03/2023 09:24,2012 - 2022,1,1,London Area Airports,LONDON CITY,70781,74006,76260,84753,85169,80490,80854,84260,19069,14463,49937,245.274147825
20/03/2023 09:24,2012 - 2022,1,1,London Area Airports,LUTON,96797,95763,101950,114083,128519,133743,136511,141858,59769,61703,118063,91.340777596
20/03/2023 09:24,2012 - 2022,1,1,London Area Airports,SOUTHEND,27715,29443,30514,23538,23449,26674,32531,36327,18401,34114,26624,-21.955795275
20/03/2023 09:24,2012 - 2022,1,1,London Area Airports,STANSTED,143511,146324,157117,168629,180430,189919,201614,199925,86107,93316,176914,89.585923100
20/03/2023 09:24,2012 - 2022,1,2,London Heliports,EDMISTON LONDON HELIPORT,7170,7650,8925,10352,11347,11899,10989,10200,3808,5779,9012,55.943934937
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,ABERDEEN,115013,118219,124282,112357,96156,97007,91279,91248,59250,62986,74098,17.642015686
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,BARRA,1403,966,988,1034,1347,1412,1439,1389,924,1147,1274,11.072362685
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),37189,38050,37112,41782,42475,36332,35959,35382,10359,12819,25368,97.893751463
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,BELFAST INTERNATIONAL,58011,54003,50973,52246,55155,58152,60541,59259,32983,33964,49942,47.043928866
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,BENBECULA,4478,3708,3504,3517,3648,3420,3650,3484,2367,2931,2772,-5.424769703
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,BIGGIN HILL,44264,41493,45477,50481,52970,50000,43343,39390,29856,38034,46633,22.608718515
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,BIRMINGHAM,92632,95713,97346,98015,113184,122067,111828,109357,35647,35411,65644,85.377425094
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,BLACKPOOL,46875,41406,32776,33075,33749,33429,37526,36289,25404,39587,37259,-5.880718418
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,BOURNEMOUTH,51089,47174,43122,43020,36922,34641,39886,38540,28370,38304,29186,-23.804302423
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,BRISTOL,61206,65299,64230,68074,73536,76199,72927,69434,29191,32278,65909,104.191709524
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,CAMBRIDGE,17292,19785,20036,19215,20226,20749,19280,16732,10888,17371,18033,3.810949283
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,CAMPBELTOWN,1527,1596,1628,1520,1452,1410,1887,1823,1032,1094,1340,22.486288848
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,CARDIFF WALES,26842,24879,25864,25077,26256,28934,31085,31881,10111,11236,18793,67.257030972
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,CARLISLE,17349,17280,16427,18427,19826,17439,4330,14421,1501,0,0,
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),7355,7103,5764,5005,5441,5156,6330,7096,3522,4552,7122,56.458699473
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,COVENTRY,39964,41629,42928,39285,35932,26357,30357,31708,22477,25378,30760,21.207344944
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,DONCASTER SHEFFIELD,11724,11197,11697,11998,16098,17435,18930,23043,12232,14077,15847,12.573701783
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,DUNDEE,40926,40427,35730,38680,36730,38096,39965,43354,19011,23956,13522,-43.554850559
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,74602,76563,76726,77053,73689,77067,76013,74566,48265,52327,64678,23.603493416
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,EDINBURGH,110288,111736,109545,115286,122220,128675,130016,131617,45966,43674,98065,124.538627101
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,EXETER,31093,31458,32852,33210,40665,40472,39532,44306,22997,25201,30874,22.511011468
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,GLASGOW,80472,79520,84000,90790,98127,102766,97157,91812,34715,39713,70391,77.249263465
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,GLOUCESTERSHIRE,73762,73857,73687,74474,83329,81451,78022,74523,53336,65009,60020,-7.674322017
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,HAWARDEN,18550,15662,13533,14882,18433,18208,17153,18103,9479,20816,36065,73.256149116
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,HUMBERSIDE,25636,27178,27647,25665,22744,18282,18759,18228,10347,11973,13103,9.437901946
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,INVERNESS,31764,28947,28495,29873,30450,31002,29690,31338,19610,25267,23820,-5.726837377
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,ISLAY,2969,2637,2610,2515,2540,2637,2751,3199,1833,2364,2450,3.637901861
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),11425,12238,10965,12210,13164,11357,12546,12329,6200,8935,10381,16.183547846
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,ISLES OF SCILLY (TRESCO),1560,0,0,0,0,0,0,0,0,0,0,
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,KIRKWALL,13980,14403,14420,14199,14539,14754,14771,14247,9498,11114,11758,5.794493432
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,LANDS END (ST JUST),7460,8586,7088,10425,11189,10062,11511,11177,6297,7539,9169,21.620904629
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,LEEDS BRADFORD,47311,45627,42989,42912,44304,46159,38680,35641,12312,14566,33912,132.816147192
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,LERWICK (TINGWALL),1924,2084,2169,2801,2426,1795,1547,1461,1054,1175,1315,11.914893617
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),60270,55839,52249,55905,62441,56643,59320,58968,28468,29327,47526,62.055443789
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,LYDD,17397,16347,19808,20095,22060,19853,22671,26676,19431,21700,29268,34.875576037
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,MANCHESTER,168883,169497,170639,173165,192293,203689,201247,202892,66760,66310,158575,139.141909214
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,MANSTON (KENT INT),14688,17504,6494,0,0,0,0,0,0,0,0,
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,NEWCASTLE,61006,59962,59114,55950,56263,57808,53740,50688,18449,21421,41187,92.273936791
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,NEWQUAY,4859,5118,9261,22848,30417,37113,41172,46338,34398,32062,24625,-23.195683363
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,NORWICH,39846,40702,37391,36045,37190,37307,34287,35187,24542,30064,31434,4.556945184
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,OXFORD (KIDLINGTON),40322,37553,42456,44020,40507,36902,38529,47026,45364,65265,72978,11.817972880
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,PENZANCE HELIPORT,3573,0,0,0,0,0,0,0,0,0,0,
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,PRESTWICK,25670,24305,25643,22765,25714,24897,24904,24463,14085,17126,19034,11.140955273
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,SCATSTA,15587,14668,13778,12221,7894,8224,8513,4989,1595,0,0,
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,SHOREHAM,54764,55500,54344,48731,51394,47203,39224,46223,33181,46479,50593,8.851309193
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,SOUTHAMPTON,43284,40501,40374,39379,42824,44161,39651,36473,10931,11910,20562,72.644836272
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,STORNOWAY,11564,11049,10909,10952,10600,10924,10570,9444,5662,6809,7384,8.444705537
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,SUMBURGH,14045,16771,18171,17171,21129,22347,16628,18056,10839,16699,17715,6.084196658
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,SWANSEA,36393,20731,14100,8983,11230,9255,9016,5779,0,0,0,
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,17938,18298,17940,18702,21162,19668,16950,16746,12731,18013,20319,12.801865319
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,TIREE,1224,1247,1295,1478,1937,1903,1855,1800,1170,1480,1578,6.621621622
20/03/2023 09:24,2012 - 2022,1,3,Other UK Airports,WICK JOHN O GROATS,5474,7787,5711,4726,4427,3827,4058,4064,3022,2838,2998,5.637773080
20/03/2023 09:24,2012 - 2022,2,4,Non UK Reporting Airports,ALDERNEY,10362,10460,10754,10149,10120,9707,8981,8326,3810,5456,7629,39.827712610
20/03/2023 09:24,2012 - 2022,2,4,Non UK Reporting Airports,GUERNSEY,50859,49403,43189,39955,39717,38209,36356,36397,14556,18253,28854,58.078124144
20/03/2023 09:24,2012 - 2022,2,4,Non UK Reporting Airports,ISLE OF MAN,32697,29857,27645,29370,28331,23061,23431,21155,8480,9594,15208,58.515739004
20/03/2023 09:24,2012 - 2022,2,4,Non UK Reporting Airports,JERSEY,57144,54878,49912,46822,47170,46615,42436,41296,16174,22861,32185,40.785617427

