rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
20/03/2023 16:36,2022,1,1,London Area Airports,GATWICK,217495,146578,42380,16341,11330,416,450
20/03/2023 16:36,2022,1,1,London Area Airports,HEATHROW,384383,207586,74991,97900,890,1175,1841
20/03/2023 16:36,2022,1,1,London Area Airports,LONDON CITY,44731,31746,10143,2841,0,0,1
20/03/2023 16:36,2022,1,1,London Area Airports,LUTON,87792,50345,34672,1346,831,584,14
20/03/2023 16:36,2022,1,1,London Area Airports,SOUTHEND,1120,0,1109,2,1,8,0
20/03/2023 16:36,2022,1,1,London Area Airports,STANSTED,159812,25884,116118,14132,3511,62,105
20/03/2023 16:36,2022,1,3,Other UK Airports,ABERDEEN,56882,19237,4493,1946,31165,38,3
20/03/2023 16:36,2022,1,3,Other UK Airports,BARRA,1456,1456,0,0,0,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),25308,14832,10364,0,89,23,0
20/03/2023 16:36,2022,1,3,Other UK Airports,BELFAST INTERNATIONAL,38489,35947,1308,500,596,132,6
20/03/2023 16:36,2022,1,3,Other UK Airports,BENBECULA,1977,1683,0,0,294,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,BIGGIN HILL,656,0,0,0,37,618,1
20/03/2023 16:36,2022,1,3,Other UK Airports,BIRMINGHAM,71152,27035,31107,4912,7428,281,389
20/03/2023 16:36,2022,1,3,Other UK Airports,BLACKPOOL,2763,0,0,0,2763,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,BOURNEMOUTH,5066,344,3404,81,1060,96,81
20/03/2023 16:36,2022,1,3,Other UK Airports,BRISTOL,56391,35200,17170,2,3943,37,39
20/03/2023 16:36,2022,1,3,Other UK Airports,CAMPBELTOWN,1060,1058,0,0,0,2,0
20/03/2023 16:36,2022,1,3,Other UK Airports,CARDIFF WALES,6823,1271,2870,0,2513,159,10
20/03/2023 16:36,2022,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),3255,3221,0,0,0,34,0
20/03/2023 16:36,2022,1,3,Other UK Airports,DONCASTER SHEFFIELD,5879,578,1615,77,3360,120,129
20/03/2023 16:36,2022,1,3,Other UK Airports,DUNDEE,1458,1366,0,0,14,60,18
20/03/2023 16:36,2022,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,46802,19835,19004,4063,2664,891,345
20/03/2023 16:36,2022,1,3,Other UK Airports,EDINBURGH,93004,48845,37257,6040,646,173,43
20/03/2023 16:36,2022,1,3,Other UK Airports,EXETER,6388,3884,937,0,1518,49,0
20/03/2023 16:36,2022,1,3,Other UK Airports,GLASGOW,58690,44735,9267,1885,2578,211,14
20/03/2023 16:36,2022,1,3,Other UK Airports,HUMBERSIDE,4261,1027,861,0,2283,90,0
20/03/2023 16:36,2022,1,3,Other UK Airports,INVERNESS,10349,8315,676,0,1323,33,2
20/03/2023 16:36,2022,1,3,Other UK Airports,ISLAY,1397,1397,0,0,0,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),8727,8727,0,0,0,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,KIRKWALL,9881,9586,1,0,294,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,LANDS END (ST JUST),5927,5927,0,0,0,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,LEEDS BRADFORD,25943,14504,11197,0,186,51,5
20/03/2023 16:36,2022,1,3,Other UK Airports,LERWICK (TINGWALL),823,823,0,0,0,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),26766,13902,12296,50,144,271,103
20/03/2023 16:36,2022,1,3,Other UK Airports,MANCHESTER,151724,71185,55083,13871,10952,332,301
20/03/2023 16:36,2022,1,3,Other UK Airports,NEWCASTLE,31606,20136,10215,819,27,27,382
20/03/2023 16:36,2022,1,3,Other UK Airports,NEWQUAY,4146,3473,643,24,4,2,0
20/03/2023 16:36,2022,1,3,Other UK Airports,NORWICH,15291,1453,1326,0,12449,63,0
20/03/2023 16:36,2022,1,3,Other UK Airports,OXFORD (KIDLINGTON),1,0,1,0,0,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,PRESTWICK,3747,136,3480,0,34,25,72
20/03/2023 16:36,2022,1,3,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,SOUTHAMPTON,16253,14799,1351,5,72,26,0
20/03/2023 16:36,2022,1,3,Other UK Airports,STORNOWAY,4526,4245,0,0,281,0,0
20/03/2023 16:36,2022,1,3,Other UK Airports,SUMBURGH,11333,4944,0,0,6389,0,0
