rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
20/03/2023 10:07,2022,2021,London Area Airports,GATWICK,217495,217478,17,52344,52234,110,315.510851,316.353333,-84.545455
20/03/2023 10:07,2022,2021,London Area Airports,HEATHROW,384383,373531,10852,193134,162447,30687,99.023994,129.940227,-64.636491
20/03/2023 10:07,2022,2021,London Area Airports,LONDON CITY,44731,44731,0,12921,12921,0,246.188376,246.188376,
20/03/2023 10:07,2022,2021,London Area Airports,LUTON,87783,86151,1632,41650,40290,1360,110.763505,113.827252,20.000000
20/03/2023 10:07,2022,2021,London Area Airports,SOUTHEND,1120,649,471,1544,1023,521,-27.461140,-36.559140,-9.596929
20/03/2023 10:07,2022,2021,London Area Airports,STANSTED,159502,150186,9316,76967,66224,10743,107.234269,126.784851,-13.283068
20/03/2023 10:07,2022,2021,Other UK Airports,ABERDEEN,56882,56641,241,47411,45212,2199,19.976377,25.278687,-89.040473
20/03/2023 10:07,2022,2021,Other UK Airports,BARRA,1456,1456,0,1247,1235,12,16.760225,17.894737,-.000000
20/03/2023 10:07,2022,2021,Other UK Airports,BELFAST CITY (GEORGE BEST),25308,25308,0,12217,12217,0,107.153966,107.153966,
20/03/2023 10:07,2022,2021,Other UK Airports,BELFAST INTERNATIONAL,38489,34109,4380,24008,18296,5712,60.317394,86.428728,-23.319328
20/03/2023 10:07,2022,2021,Other UK Airports,BENBECULA,1977,1691,286,1645,1640,5,20.182371,3.109756,"5,620.000000"
20/03/2023 10:07,2022,2021,Other UK Airports,BIGGIN HILL,656,656,0,433,433,0,51.501155,51.501155,
20/03/2023 10:07,2022,2021,Other UK Airports,BIRMINGHAM,71152,69234,1918,28523,26198,2325,149.454826,164.272082,-17.505376
20/03/2023 10:07,2022,2021,Other UK Airports,BLACKPOOL,2763,2763,0,0,0,0,,,
20/03/2023 10:07,2022,2021,Other UK Airports,BOURNEMOUTH,5066,4965,101,3098,2698,400,63.524855,84.025204,-74.750000
20/03/2023 10:07,2022,2021,Other UK Airports,BRISTOL,56391,56391,0,20935,20935,0,169.362312,169.362312,
20/03/2023 10:07,2022,2021,Other UK Airports,CAMPBELTOWN,1060,1060,0,917,917,0,15.594329,15.594329,
20/03/2023 10:07,2022,2021,Other UK Airports,CARDIFF WALES,6823,6820,3,2065,2058,7,230.411622,231.389699,-57.142857
20/03/2023 10:07,2022,2021,Other UK Airports,CITY OF DERRY (EGLINTON),3255,3255,0,2184,2184,0,49.038462,49.038462,
20/03/2023 10:07,2022,2021,Other UK Airports,DONCASTER SHEFFIELD,5879,5730,149,2911,2603,308,101.958090,120.130619,-51.623377
20/03/2023 10:07,2022,2021,Other UK Airports,DUNDEE,1458,1457,1,995,995,0,46.532663,46.432161,
20/03/2023 10:07,2022,2021,Other UK Airports,EAST MIDLANDS INTERNATIONAL,46730,21138,25592,35281,8773,26508,32.450894,140.943805,-3.455561
20/03/2023 10:07,2022,2021,Other UK Airports,EDINBURGH,93004,88102,4902,39457,34165,5292,135.709760,157.872091,-7.369615
20/03/2023 10:07,2022,2021,Other UK Airports,EXETER,6386,5933,453,4076,3580,496,56.673209,65.726257,-8.669355
20/03/2023 10:07,2022,2021,Other UK Airports,GLASGOW,58690,58619,71,27652,27043,609,112.245046,116.762194,-88.341544
20/03/2023 10:07,2022,2021,Other UK Airports,HUMBERSIDE,4261,4113,148,3697,3558,139,15.255613,15.598651,6.474820
20/03/2023 10:07,2022,2021,Other UK Airports,INVERNESS,10349,9076,1273,5848,5398,450,76.966484,68.136347,182.888889
20/03/2023 10:07,2022,2021,Other UK Airports,ISLAY,1397,1396,1,1258,1254,4,11.049285,11.323764,-75.000000
