rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_lp,total_pax_pc,term_pax_tp,term_pax_lp,term_pax_pc,tran_pax_tp,tran_pax_lp,tran_pax_pc
3/20/2023 10:41:59 AM,2022,2021,1,1,London Area Airports,GATWICK,32835381,6261814,424.374901586,32831088,6260072,424.452242722,4293,1742,146.440872560
3/20/2023 10:41:59 AM,2022,2021,1,1,London Area Airports,HEATHROW,61611838,19393886,217.686914319,61596618,19392178,217.636409897,15220,1708,791.100702576
3/20/2023 10:41:59 AM,2022,2021,1,1,London Area Airports,LONDON CITY,3009313,720580,317.623719781,3009313,720580,317.623719781,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,1,London Area Airports,LUTON,13324491,4674800,185.028043980,13322236,4673656,185.049562912,2255,1144,97.115384615
3/20/2023 10:41:59 AM,2022,2021,1,1,London Area Airports,SOUTHEND,89361,94367,-5.304820541,89361,94367,-5.304820541,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,1,London Area Airports,STANSTED,23290097,7148200,225.817646400,23289652,7145802,225.920757390,445,2398,-81.442869058
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,ABERDEEN,1960307,1075639,82.245809235,1959883,1075639,82.206390806,424,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,BARRA,13102,9956,31.599035757,13102,9954,31.625477195,0,2,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),1655164,812424,103.731549043,1655156,812397,103.737335318,8,27,-70.370370370
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,BELFAST INTERNATIONAL,4818214,2328276,106.943420797,4818214,2327139,107.044529785,0,1137,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,BENBECULA,30414,24202,25.667300223,30230,20320,48.769685039,184,3882,-95.260175167
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,BIGGIN HILL,4002,2612,53.215926493,4002,2612,53.215926493,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,BIRMINGHAM,9597485,2482430,286.616541051,9595664,2476584,287.455624360,1821,5846,-68.850496066
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,BLACKPOOL,9428,0,,9428,0,,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,BOURNEMOUTH,734530,200640,266.093500797,734344,200488,266.278280994,186,152,22.368421053
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,BRISTOL,7948941,2087772,280.737982883,7945038,2085745,280.920870001,3903,2027,92.550567341
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,CAMPBELTOWN,6112,3282,86.227909811,5812,2881,101.735508504,300,401,-25.187032419
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,CARDIFF WALES,859805,123825,594.371088229,857397,122729,598.609945490,2408,1096,119.708029197
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),163379,73024,123.733293164,163379,73024,123.733293164,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,DONCASTER SHEFFIELD,959963,309512,210.153725865,959321,309326,210.132675559,642,186,245.161290323
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,DUNDEE,38451,19658,95.599755825,36882,19658,87.618272459,1569,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,3186367,832529,282.733454330,3186367,828224,284.722852755,0,4305,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,EDINBURGH,11250211,3024960,271.912719507,11248459,3023614,272.020337252,1752,1346,30.163447251
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,EXETER,382223,126854,201.309379286,382198,126837,201.330053533,25,17,47.058823529
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,GLASGOW,6517585,2072546,214.472392893,6516029,2071008,214.630798143,1556,1538,1.170351105
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,HUMBERSIDE,92465,31534,193.223187670,92280,31503,192.924483383,185,31,496.774193548
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,INVERNESS,700012,357584,95.761555327,699982,357141,95.995979179,30,443,-93.227990971
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,ISLAY,26268,12981,102.357291426,26148,12761,104.905571664,120,220,-45.454545455
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),86846,72291,20.133903252,86846,72291,20.133903252,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,KIRKWALL,133410,85665,55.734547365,123055,75777,62.390962957,10355,9888,4.722896440
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,LANDS END (ST JUST),63737,53211,19.781624100,63629,53105,19.817343000,108,106,1.886792453
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,LEEDS BRADFORD,3288635,739131,344.932630346,3287968,734830,347.446075963,667,4301,-84.491978610
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,LERWICK (TINGWALL),2886,2300,25.478260870,2886,2300,25.478260870,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),3490844,1165508,199.512658858,3490655,1165508,199.496442753,189,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,LYDD,0,31,,0,31,,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,MANCHESTER,23364471,6085103,283.961799825,23340418,6082905,283.705121155,24053,2198,994.313011829
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,NEWCASTLE,4128407,1024930,302.798922853,4127035,1022540,303.606215894,1372,2390,-42.594142259
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,NEWQUAY,244675,105554,131.800784433,244674,105479,131.964656472,1,75,-98.666666667
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,NORWICH,319040,127208,150.801836362,319040,127208,150.801836362,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,OXFORD (KIDLINGTON),120,556,-78.417266187,120,556,-78.417266187,0,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,PRESTWICK,445211,78069,470.278855884,444433,77807,471.199249425,778,262,196.946564885
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,SOUTHAMPTON,631458,263131,139.978565809,631329,263131,139.929540799,129,0,
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,STORNOWAY,102331,62791,62.970807918,101121,60784,66.361213477,1210,2007,-39.711011460
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,SUMBURGH,247538,183903,34.602480656,246390,182320,35.141509434,1148,1583,-27.479469362
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,173785,78520,121.325776872,173006,72151,139.783232388,779,6369,-87.768880515
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,TIREE,11176,8387,33.253845237,10982,8196,33.992191313,194,191,1.570680628
3/20/2023 10:41:59 AM,2022,2021,1,3,Other UK Airports,WICK JOHN O GROATS,6935,18,38427.777777778,6935,0,,0,18,
3/20/2023 10:41:59 AM,2022,2021,2,4,Non UK Reporting Airports,ALDERNEY,50924,41279,23.365391603,50924,41279,23.365391603,0,0,
3/20/2023 10:41:59 AM,2022,2021,2,4,Non UK Reporting Airports,GUERNSEY,654446,250526,161.228774658,653052,250462,160.738954412,1394,64,2078.125000000
3/20/2023 10:41:59 AM,2022,2021,2,4,Non UK Reporting Airports,ISLE OF MAN,551941,182371,202.647350730,551941,182371,202.647350730,0,0,
3/20/2023 10:41:59 AM,2022,2021,2,4,Non UK Reporting Airports,JERSEY,1336225,678151,97.039449916,1335974,678067,97.026842480,251,84,198.809523810

