rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,ABERDEEN,162333,162333,0,51795,51795,0,213.41442
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),165388,165388,0,94470,94470,0,75.06933
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,500189,499830,359,317963,317810,153,57.31044
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,BIRMINGHAM,472,50,422,906,0,906,-47.90287
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,BRISTOL,285,0,285,99,76,23,187.87879
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,CARDIFF WALES,0,0,0,172,0,172,-100
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,79,0,79,219,0,219,-63.92694
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,113,0,113,200,0,200,-43.5
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,EDINBURGH,408754,408265,489,195780,195648,132,108.78231
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,FARNBOROUGH,40,0,40,0,0,0,0
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,GLASGOW,434363,434182,181,194399,194342,57,123.43891
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,GUERNSEY,281889,281889,0,83183,83183,0,238.87814
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,HEATHROW,78,78,0,29,0,29,168.96552
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,INVERNESS,217214,217214,0,110958,110896,62,95.76236
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,ISLE OF MAN,150091,150091,0,49062,49062,0,205.92108
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,JERSEY,295047,295047,0,135794,135794,0,117.27543
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,LEEDS BRADFORD,46,0,46,263,0,263,-82.50951
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,LIVERPOOL (JOHN LENNON),331,0,331,546,1,545,-39.37729
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,MANCHESTER,18569,17555,1014,1497,49,1448,1140.41416
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,NEWCASTLE,191,0,191,268,152,116,-28.73134
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,NEWQUAY,64519,64519,0,10238,10238,0,530.19144
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,NORWICH,111,0,111,110,0,110,0.90909
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,STANSTED,179,0,179,1009,90,919,-82.25966
20/03/2023 11:17,2022,2021,A,London Area Airports,GATWICK,TEESSIDE INTERNATIONAL AIRPORT,43,0,43,0,0,0,0
20/03/2023 11:17,2022,2021,A,London Area Airports,HEATHROW,ABERDEEN,411683,411683,0,244399,244399,0,68.44709
20/03/2023 11:17,2022,2021,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),598977,598977,0,338431,338431,0,76.98645
20/03/2023 11:17,2022,2021,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,94,94,0,74,74,0,27.02703
20/03/2023 11:17,2022,2021,A,London Area Airports,HEATHROW,DUNDEE,0,0,0,33,33,0,-100
20/03/2023 11:17,2022,2021,A,London Area Airports,HEATHROW,EDINBURGH,732421,732243,178,381994,381701,293,91.73626
