rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
19/03/2024 12:57,2023 - 2023,1,1,London Area Airports,GATWICK,244301,254540,262571,277094,283437,283186,282896,79489,52344,217495,257778,18.521345318
19/03/2024 12:57,2023 - 2023,1,1,London Area Airports,HEATHROW,469564,470708,472058,473199,476186,480339,479811,207021,193134,384383,463854,20.674951806
19/03/2024 12:57,2023 - 2023,1,1,London Area Airports,LONDON CITY,68118,70133,79251,80449,76611,78037,80931,19554,12921,44731,50525,12.952985625
19/03/2024 12:57,2023 - 2023,1,1,London Area Airports,LUTON,70889,75616,87440,102931,106064,106666,112745,49251,41656,87792,100380,14.338436304
19/03/2024 12:57,2023 - 2023,1,1,London Area Airports,SOUTHEND,9475,11541,8975,8276,11331,17088,19162,4892,1544,1120,994,-11.250000000
19/03/2024 12:57,2023 - 2023,1,1,London Area Airports,STANSTED,131925,143230,154478,164213,172109,185660,183566,74417,77278,159812,179193,12.127374665
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,ABERDEEN,99887,106143,95687,77679,81926,81552,78209,47430,47411,56882,58049,2.051615625
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,BARRA,880,882,947,1313,1394,1390,1366,1047,1247,1456,1383,-5.013736264
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),36865,36052,40571,41370,36891,35845,34625,10095,12217,25308,29373,16.062114746
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,BELFAST INTERNATIONAL,36596,34795,36273,38104,41691,46115,47230,19416,24008,38489,47748,24.056223856
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,BENBECULA,1887,1681,1692,1755,1827,1960,1974,1299,1645,1977,2007,1.517450683
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,BIGGIN HILL,8,34,24,61,146,202,325,277,433,656,640,-2.439024390
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,BIRMINGHAM,84851,89056,89837,104246,112128,104553,102515,31968,28523,71927,81049,12.682302890
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,BLACKPOOL,10282,8231,6554,6718,5397,4724,4014,3000,0,2763,4030,45.855953674
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,BOURNEMOUTH,6824,6714,8554,4302,3975,4096,4973,1964,3098,5066,6024,18.910382945
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,BRISTOL,53966,52574,54741,61066,63863,66147,62556,21661,20935,56391,68635,21.712684648
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,CAMBRIDGE,763,1479,373,56,0,0,0,0,0,0,0,
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,CAMPBELTOWN,1022,1035,977,1037,1074,1069,1064,992,917,1060,1057,-0.283018868
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,CARDIFF WALES,14024,14228,14044,15948,16944,17009,16688,3258,2065,6823,7764,13.791587278
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),3011,2537,1927,1856,1911,2324,3063,1698,2184,3255,3040,-6.605222734
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,COVENTRY,604,539,676,637,0,0,0,0,0,0,0,
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,DONCASTER SHEFFIELD,4291,5118,5581,10143,10039,8797,9520,2792,2911,5879,0,-100.000000000
