rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
19/03/2024 13:04,2023,London Area Airports,GATWICK,174862,166286,166286,8576,8576,57090,53861,53861,3229,3229,25826,25788,25788,38,38
19/03/2024 13:04,2023,London Area Airports,HEATHROW,200421,198944,198065,1477,112,226521,226117,224485,404,74,36912,36910,36900,2,1
19/03/2024 13:04,2023,London Area Airports,LONDON CITY,33892,33888,33888,4,4,5788,5788,5788,0,0,10845,10843,10843,2,2
19/03/2024 13:04,2023,London Area Airports,LUTON,75623,74355,73468,1268,755,14853,14693,14637,160,155,9904,9901,9899,3,3
19/03/2024 13:04,2023,London Area Airports,SOUTHEND,978,978,947,0,0,14,14,14,0,0,2,1,1,1,1
19/03/2024 13:04,2023,London Area Airports,STANSTED,146818,145280,141621,1538,1519,21037,20663,16877,374,319,11338,9853,9849,1485,3
19/03/2024 13:04,2023,Other UK Airports,ABERDEEN,6255,5751,5750,504,504,30072,3794,3794,26278,26227,21722,19909,19862,1813,1488
19/03/2024 13:04,2023,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,1383,1383,1383,0,0
19/03/2024 13:04,2023,Other UK Airports,BELFAST CITY (GEORGE BEST),1247,1099,1099,148,148,7,0,0,7,7,28119,28087,28087,32,32
19/03/2024 13:04,2023,Other UK Airports,BELFAST INTERNATIONAL,12118,11404,10910,714,714,836,736,727,100,100,34794,34758,31174,36,36
19/03/2024 13:04,2023,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,2007,1457,1457,550,0
19/03/2024 13:04,2023,Other UK Airports,BIGGIN HILL,444,0,0,444,444,159,0,0,159,159,37,0,0,37,37
