rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_freight_passenger_aircraft_this_period,total_freight_passenger_aircraft_last_period,total_freight_passenger_aircraft_percent_change,total_freight_cargo_aircraft_this_period,total_freight_cargo_aircraft_last_period,total_freight_cargo_aircraft_percent_change,total_freight_this_period,total_freight_last_period,total_freight_percent_change
19/03/2024 13:11:12,2023,2022,London Area Airports,  GATWICK,61123.076000,36127.400000,69.000000,0.000000,279.655000,0.000000,61123.076000,36407.055000,68.000000
19/03/2024 13:11:12,2023,2022,London Area Airports,  HEATHROW,1255317.337000,1103792.577000,14.000000,131727.851000,247102.720000,-47.000000,1387045.188000,1350895.297000,3.000000
19/03/2024 13:11:12,2023,2022,London Area Airports,  LONDON CITY,0.131000,1.875000,0.000000,0.000000,0.000000,0.000000,0.131000,1.875000,0.000000
19/03/2024 13:11:12,2023,2022,London Area Airports,  LUTON,42.462000,13.616000,200.000000,25129.010000,31035.131000,-19.000000,25171.472000,31048.747000,-19.000000
19/03/2024 13:11:12,2023,2022,London Area Airports,  SOUTHEND,0.000000,0.000000,0.000000,77.073000,3552.061000,-98.000000,77.073000,3552.061000,-98.000000
19/03/2024 13:11:12,2023,2022,London Area Airports,  STANSTED,10752.755000,2990.834000,260.000000,241111.540000,240162.575000,0.000000,251864.295000,243153.409000,4.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  ABERDEEN,1391.016000,1583.717000,-12.000000,505.130000,48.106000,952.000000,1896.146000,1631.823000,16.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  BARRA,4.371000,4.520000,-20.000000,0.000000,0.000000,0.000000,4.371000,4.520000,-20.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  BELFAST CITY (GEORGE BEST),16.837000,34.917000,-51.000000,0.000000,0.000000,0.000000,16.837000,34.917000,-51.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  BELFAST INTERNATIONAL,2.650000,0.908000,200.000000,22277.628000,23524.631000,-5.000000,22280.278000,23525.539000,-5.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  BENBECULA,23.422000,27.340000,-15.000000,2.214000,4.709000,-60.000000,25.636000,32.049000,-19.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  BIRMINGHAM,11651.005000,8401.516000,39.000000,9720.351000,10701.460000,-9.000000,21371.356000,19102.976000,12.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  BOURNEMOUTH,133.072000,41.781000,217.000000,11309.699000,4277.041000,164.000000,11442.771000,4318.822000,165.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  BRISTOL,2.283000,0.703000,100.000000,0.000000,0.000000,0.000000,2.283000,0.703000,100.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  CARDIFF WALES,3.027000,0.006000,0.000000,0.635000,95.791000,-99.000000,3.662000,95.797000,-96.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  DONCASTER SHEFFIELD,0.000000,168.962000,0.000000,0.000000,12010.019000,0.000000,0.000000,12178.981000,0.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,0.197000,8.839000,0.000000,352740.558000,379496.828000,-7.000000,352740.755000,379505.667000,-7.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  EDINBURGH,5801.187000,4768.834000,22.000000,14335.875000,14149.459000,1.000000,20137.062000,18918.293000,6.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  EXETER,0.000000,0.000000,0.000000,8.865000,0.000000,0.000000,8.865000,0.000000,0.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  GLASGOW,5516.023000,6618.358000,-17.000000,0.079000,0.047000,0.000000,5516.102000,6618.405000,-17.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  HUMBERSIDE,53.357000,63.216000,-16.000000,9.095000,11.213000,-18.000000,62.452000,74.429000,-16.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  ISLAY,245.959000,222.459000,11.000000,0.000000,0.000000,0.000000,245.959000,222.459000,11.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  ISLES OF SCILLY (ST.MARYS),66.000000,42.200000,57.000000,45.000000,55.100000,-18.000000,111.000000,97.300000,14.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  KIRKWALL,17.878000,19.489000,-5.000000,3.264000,3.566000,-25.000000,21.142000,23.055000,-9.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  LANDS END (ST JUST),39.400000,42.700000,-9.000000,43.900000,55.300000,-20.000000,83.300000,98.000000,-15.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  LEEDS BRADFORD,0.593000,0.150000,0.000000,0.000000,0.000000,0.000000,0.593000,0.150000,0.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  LIVERPOOL (JOHN LENNON),13.414000,6.784000,86.000000,211.828000,1669.388000,-87.000000,225.242000,1676.172000,-87.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  MANCHESTER,67807.445000,64313.874000,5.000000,23.183000,1088.964000,-98.000000,67830.628000,65402.838000,4.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  NEWCASTLE,2397.204000,1354.672000,77.000000,1151.670000,1094.400000,5.000000,3548.874000,2449.072000,45.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  NEWQUAY,0.568000,0.460000,0.000000,0.000000,0.000000,0.000000,0.568000,0.460000,0.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  NORWICH,475.413000,112.240000,324.000000,0.000000,0.000000,0.000000,475.413000,112.240000,324.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  PRESTWICK,9.659000,0.741000,900.000000,10663.498000,15297.102000,-30.000000,10673.157000,15297.843000,-30.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  SOUTHAMPTON,32.895000,21.764000,50.000000,0.000000,0.000000,0.000000,32.895000,21.764000,50.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  STORNOWAY,105.286000,129.205000,-19.000000,0.000000,0.000000,0.000000,105.286000,129.205000,-19.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  SUMBURGH,174.941000,199.348000,-12.000000,4.168000,0.061000,0.000000,179.109000,199.409000,-10.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  TEESSIDE INTERNATIONAL AIRPORT,0.043000,0.000000,0.000000,62.212000,0.000000,0.000000,62.255000,0.000000,0.000000
19/03/2024 13:11:12,2023,2022,Other UK Airports,  TIREE,4.415000,4.986000,-20.000000,0.000000,0.000000,0.000000,4.415000,4.986000,-20.000000
19/03/2024 13:11:12,2023,2022,Non UK Reporting Airports,  ALDERNEY,37.245000,31.892000,16.000000,0.571000,0.353000,0.000000,37.816000,32.245000,19.000000
19/03/2024 13:11:12,2023,2022,Non UK Reporting Airports,  GUERNSEY,48.229000,43.568000,9.000000,384.490000,679.396000,-43.000000,432.719000,722.964000,-40.000000
19/03/2024 13:11:12,2023,2022,Non UK Reporting Airports,  ISLE OF MAN,13.241000,8.005000,63.000000,42.334000,38.678000,8.000000,55.575000,46.683000,19.000000
19/03/2024 13:11:12,2023,2022,Non UK Reporting Airports,  JERSEY,54.578000,38.705000,41.000000,505.996000,962.358000,-47.000000,560.574000,1001.063000,-44.000000

