rundate,this_period,last_period,repoting_airport_group_name,reporting_airport_name,total_mail_passenger_aircraft_this_period,total_mail_passenger_aircraft_last_period,total_mail_passenger_aircraft_percent_change,total_mail_cargo_aircraft_this_period,total_mail_cargo_aircraft_last_period,total_mail_cargo_aircraft_percent_change,total_mail_this_period,total_mail_last_period,total_mail_percent_change
3/19/2024 1:00:54 PM,2023,2022,London Area Airports,GATWICK,2561.090,3345.208,(23),0.000,0.000,,2561.090,3345.208,(23)
3/19/2024 1:00:54 PM,2023,2022,London Area Airports,HEATHROW,42836.453,45192.847,(5),93.467,2237.150,(96),42929.920,47429.997,(9)
3/19/2024 1:00:54 PM,2023,2022,London Area Airports,LUTON,0.481,0.000,,869.991,950.181,(8),870.472,950.181,(8)
3/19/2024 1:00:54 PM,2023,2022,London Area Airports,SOUTHEND,0.000,0.000,,0.674,107.813,(99),0.674,107.813,(99)
3/19/2024 1:00:54 PM,2023,2022,London Area Airports,STANSTED,0.000,0.000,,11380.324,12934.471,(12),11380.324,12934.471,(12)
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,ABERDEEN,7.062,5.192,36,178.254,0.000,,185.316,5.192,3469
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,BELFAST INTERNATIONAL,0.022,1.344,(98),14610.896,13090.684,12,14610.918,13092.028,12
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,BENBECULA,0.033,1.819,(98),499.715,230.784,117,499.748,232.603,115
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,BIRMINGHAM,88.201,124.500,(29),0.000,1.400,,88.201,125.900,(30)
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,BOURNEMOUTH,0.773,0.065,1089,0.000,0.000,,0.773,0.065,1089
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,EAST MIDLANDS INTERNATIONAL,0.000,0.000,,17795.086,20648.560,(14),17795.086,20648.560,(14)
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,EDINBURGH,64.874,71.806,(10),14490.520,14608.462,(1),14555.394,14680.268,(1)
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,EXETER,0.000,0.000,,2950.543,3119.505,(5),2950.543,3119.505,(5)
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,GLASGOW,114.923,128.196,(10),0.447,0.157,185,115.370,128.353,(10)
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,INVERNESS,2.182,6.757,(68),4373.846,2609.945,68,4376.028,2616.702,67
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,ISLAY,82.384,84.231,(2),0.000,0.025,,82.384,84.256,(2)
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,ISLES OF SCILLY (ST.MARYS),20.800,20.600,1,194.100,221.700,(12),214.900,242.300,(11)
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,KIRKWALL,15.579,14.333,9,1033.392,509.255,103,1048.971,523.588,100
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,LANDS END (ST JUST),22.000,20.000,10,194.000,222.400,(13),216.000,242.400,(11)
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,MANCHESTER,729.908,441.352,65,0.000,7.864,,729.908,449.216,62
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,NEWQUAY,0.538,0.009,5878,0.000,0.000,,0.538,0.009,5878
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,STORNOWAY,0.616,0.004,15300,900.426,206.805,335,901.042,206.809,336
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,SUMBURGH,0.633,0.066,859,992.377,206.162,381,993.010,206.228,382
3/19/2024 1:00:54 PM,2023,2022,Other UK Airports,TIREE,36.399,44.250,(18),0.000,0.000,,36.399,44.250,(18)
3/19/2024 1:00:54 PM,2023,2022,Non UK Reporting Airports,ALDERNEY,62.918,77.248,(19),0.493,0.773,(36),63.411,78.021,(19)
3/19/2024 1:00:54 PM,2023,2022,Non UK Reporting Airports,GUERNSEY,63.301,78.060,(19),2154.419,2245.666,(4),2217.720,2323.726,(5)
3/19/2024 1:00:54 PM,2023,2022,Non UK Reporting Airports,ISLE OF MAN,3.760,0.021,17805,1172.706,1506.800,(22),1176.466,1506.821,(22)
3/19/2024 1:00:54 PM,2023,2022,Non UK Reporting Airports,JERSEY,3.118,3.213,(3),987.557,1417.381,(30),990.675,1420.594,(30)

