rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_atms,total_cancelled_atms,total_atms_excl_cancelled
14/03/2025 14:14,2024,Other UK Airports,ABERDEEN,"60,677","1,646","59,031"
14/03/2025 14:14,2024,Non UK Reporting Airports,ALDERNEY,"4,282",375,"3,907"
14/03/2025 14:14,2024,Other UK Airports,BARRA,"1,367",199,"1,168"
14/03/2025 14:14,2024,Other UK Airports,BELFAST CITY (GEORGE BEST),"30,371","1,008","29,363"
14/03/2025 14:14,2024,Other UK Airports,BELFAST INTERNATIONAL,"51,864",215,"51,649"
14/03/2025 14:14,2024,Other UK Airports,BENBECULA,"2,090",186,"1,904"
14/03/2025 14:14,2024,Other UK Airports,BIGGIN HILL,"1,139",-,"1,139"
14/03/2025 14:14,2024,Other UK Airports,BIRMINGHAM,"88,203",731,"87,472"
14/03/2025 14:14,2024,Other UK Airports,BLACKPOOL,"4,644",-,"4,644"
14/03/2025 14:14,2024,Other UK Airports,BOURNEMOUTH,"7,202",6,"7,196"
14/03/2025 14:14,2024,Other UK Airports,BRISTOL,"71,134",473,"70,661"
14/03/2025 14:14,2024,Other UK Airports,CAMPBELTOWN,"1,049",107,942
14/03/2025 14:14,2024,Other UK Airports,CARDIFF WALES,"7,183",139,"7,044"
14/03/2025 14:14,2024,Other UK Airports,CITY OF DERRY (EGLINTON),"3,050",31,"3,019"
14/03/2025 14:14,2024,Other UK Airports,DUNDEE,"1,491",56,"1,435"
14/03/2025 14:14,2024,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"45,476",181,"45,295"
14/03/2025 14:14,2024,Other UK Airports,EDINBURGH,"116,693","1,391","115,302"
14/03/2025 14:14,2024,Other UK Airports,EXETER,"6,219",169,"6,050"
14/03/2025 14:14,2024,Other UK Airports,FARNBOROUGH,"8,890",-,"8,890"
14/03/2025 14:14,2024,London Area Airports,GATWICK,"265,608","4,086","261,522"
14/03/2025 14:14,2024,Other UK Airports,GLASGOW,"67,634","1,457","66,177"
14/03/2025 14:14,2024,Non UK Reporting Airports,GUERNSEY,"17,849",916,"16,933"
14/03/2025 14:14,2024,London Area Airports,HEATHROW,"482,143","8,344","473,799"
14/03/2025 14:14,2024,Other UK Airports,HUMBERSIDE,"5,272",439,"4,833"
14/03/2025 14:14,2024,Other UK Airports,INVERNESS,"10,295",188,"10,107"
14/03/2025 14:14,2024,Other UK Airports,ISLAY,"1,235",114,"1,121"
14/03/2025 14:14,2024,Non UK Reporting Airports,ISLE OF MAN,"9,486",372,"9,114"
14/03/2025 14:14,2024,Other UK Airports,ISLES OF SCILLY (ST.MARYS),"7,600",-,"7,600"
14/03/2025 14:14,2024,Non UK Reporting Airports,JERSEY,"17,940",565,"17,375"
14/03/2025 14:14,2024,Other UK Airports,KIRKWALL,"10,011",504,"9,507"
14/03/2025 14:14,2024,Other UK Airports,LANDS END (ST JUST),"4,891",-,"4,891"
14/03/2025 14:14,2024,Other UK Airports,LEEDS BRADFORD,"31,035",526,"30,509"
14/03/2025 14:14,2024,Other UK Airports,LERWICK (TINGWALL),784,-,784
14/03/2025 14:14,2024,Other UK Airports,LIVERPOOL (JOHN LENNON),"35,523",251,"35,272"
14/03/2025 14:14,2024,London Area Airports,LONDON CITY,"48,888","1,531","47,357"
14/03/2025 14:14,2024,London Area Airports,LUTON,"102,597",599,"101,998"
14/03/2025 14:14,2024,Other UK Airports,LYDD,2,-,2
14/03/2025 14:14,2024,Other UK Airports,MANCHESTER,"190,034","1,918","188,116"
14/03/2025 14:14,2024,Other UK Airports,NEWCASTLE,"37,218",387,"36,831"
14/03/2025 14:14,2024,Other UK Airports,NEWQUAY,"5,516",187,"5,329"
14/03/2025 14:14,2024,Other UK Airports,NORWICH,"13,293",81,"13,212"
14/03/2025 14:14,2024,Other UK Airports,OXFORD (KIDLINGTON),1,-,1
14/03/2025 14:14,2024,Other UK Airports,PRESTWICK,"3,863",4,"3,859"
14/03/2025 14:14,2024,Other UK Airports,SHOREHAM,-,-,-
14/03/2025 14:14,2024,Other UK Airports,SOUTHAMPTON,"17,342",620,"16,722"
14/03/2025 14:14,2024,London Area Airports,SOUTHEND,"2,007",22,"1,985"
14/03/2025 14:14,2024,London Area Airports,STANSTED,"188,987","1,482","187,505"
14/03/2025 14:14,2024,Other UK Airports,STORNOWAY,"5,240",267,"4,973"
14/03/2025 14:14,2024,Other UK Airports,SUMBURGH,"13,251",337,"12,914"
14/03/2025 14:14,2024,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,"3,536",131,"3,405"
14/03/2025 14:14,2024,Other UK Airports,TIREE,"1,612",209,"1,403"
14/03/2025 14:14,2024,Other UK Airports,WICK JOHN O GROATS,"1,058",130,928
