rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax,pax_term_shd_uk,pax_tran_shd_uk,pax_term_shd_fe,pax_tran_shd_fe,pax_term_shd_fn,pax_tran_shd_fn,pax_term_cht_uk,pax_tran_cht_uk,pax_term_cht_fe,pax_tran_cht_fe,pax_term_cht_fn,pax_tran_cht_fn
14/03/2025 11:35,2024,1,1,London Area Airports,GATWICK,43249282,27731141,3641,7997405,723,5152385,2763,2317254,0,41417,0,2553,0
14/03/2025 11:35,2024,1,1,London Area Airports,HEATHROW,83882140,43748024,153,11944650,695,28138452,23995,24349,0,58,0,1764,0
14/03/2025 11:35,2024,1,1,London Area Airports,LONDON CITY,3573250,2328500,0,1021852,0,222512,0,386,0,0,0,0,0
14/03/2025 11:35,2024,1,1,London Area Airports,LUTON,16939902,10194742,1686,6279563,575,306660,173,150623,350,4910,0,620,0
14/03/2025 11:35,2024,1,1,London Area Airports,SOUTHEND,287758,4545,0,270794,0,9161,0,0,0,3258,0,0,0
14/03/2025 11:35,2024,1,1,London Area Airports,STANSTED,29694316,5821071,4,21433564,0,2117155,0,304744,0,10030,0,7748,0
14/03/2025 11:35,2024,1,3,Other UK Airports,ABERDEEN,2300657,1211355,0,535222,0,67787,0,466326,0,19395,0,572,0
14/03/2025 11:35,2024,1,3,Other UK Airports,BARRA,11064,11057,7,0,0,0,0,0,0,0,0,0,0
14/03/2025 11:35,2024,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2391124,2249626,14,126048,68,0,0,10763,0,4599,0,6,0
14/03/2025 11:35,2024,1,3,Other UK Airports,BELFAST INTERNATIONAL,6750440,6151073,0,478058,0,3679,0,91004,0,18522,0,8104,0
14/03/2025 11:35,2024,1,3,Other UK Airports,BENBECULA,26494,26471,23,0,0,0,0,0,0,0,0,0,0
14/03/2025 11:35,2024,1,3,Other UK Airports,BIGGIN HILL,8353,0,0,0,0,0,0,3356,0,4628,0,369,0
14/03/2025 11:35,2024,1,3,Other UK Airports,BIRMINGHAM,12848201,4580206,355,5102538,0,1687739,0,1462842,0,13951,0,406,164
14/03/2025 11:35,2024,1,3,Other UK Airports,BLACKPOOL,18729,0,0,0,0,0,0,18729,0,0,0,0,0
14/03/2025 11:35,2024,1,3,Other UK Airports,BOURNEMOUTH,1088370,100095,0,711888,0,7536,0,267059,0,1792,0,0,0
14/03/2025 11:35,2024,1,3,Other UK Airports,BRISTOL,10615864,6786600,1270,3055348,179,103652,0,656998,0,3077,0,8740,0
14/03/2025 11:35,2024,1,3,Other UK Airports,CAMPBELTOWN,7028,6941,21,0,0,0,0,0,0,66,0,0,0
14/03/2025 11:35,2024,1,3,Other UK Airports,CARDIFF WALES,875651,58396,401,337246,170,849,0,454500,366,16982,0,6741,0
14/03/2025 11:35,2024,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),179095,174860,0,245,0,0,0,1795,0,2195,0,0,0
14/03/2025 11:35,2024,1,3,Other UK Airports,DUNDEE,36071,29997,5716,0,0,0,0,190,0,109,0,59,0
14/03/2025 11:35,2024,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4133398,1545536,0,1837006,0,0,200,732196,0,12248,0,6212,0
14/03/2025 11:35,2024,1,3,Other UK Airports,EDINBURGH,15780353,7957967,522,6012722,126,1728755,214,47667,0,29788,0,2592,0
