rundate,report_period,region_num,foreign_region,foreign_country,uk_group,uk_apt,foreign_apt,ty_t_pax,ty_s_pax,ty_c_pax,ly_t_pax,ly_s_pax,ly_c_pax,pc_change
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,INNSBRUCK,199556,175626,23930,160547,137098,23449,24.29756
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,SALZBURG,160085,145247,14838,146614,131897,14717,9.18807
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,VIENNA,302021,302021,0,278357,278357,0,8.50131
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,INNSBRUCK,23525,23525,0,40397,40397,0,-41.76548
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,SALZBURG,21089,21089,0,20205,20205,0,4.37515
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,VIENNA,805440,805440,0,717923,717923,0,12.1903
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,LONDON CITY,INNSBRUCK,136,136,0,0,0,0,0
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,LONDON CITY,SALZBURG,1556,1556,0,2417,2417,0,-35.62267
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,GRAZ,174,174,0,0,0,0,0
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,INNSBRUCK,11360,6051,5309,11040,5583,5457,2.89855
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,SALZBURG,54559,54559,0,8813,8813,0,519.0741
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,VIENNA,375,375,0,0,0,0,0
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,INNSBRUCK,8977,3191,5786,9672,4656,5016,-7.18569
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,KLAGENFURT,28623,28088,535,30050,29588,462,-4.74875
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,LINZ,5266,5266,0,0,0,0,0
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,SALZBURG,100262,96354,3908,91553,88062,3491,9.51252
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,VIENNA,350444,350115,329,262015,262015,0,33.74959
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,SALZBURG,4068,3680,388,4253,4253,0,-4.34987
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,VIENNA,0,0,0,392,0,392,-100
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,2,BIGGIN HILL,GRAZ,262,0,262,91,0,91,187.91209
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,2,BIGGIN HILL,INNSBRUCK,20,0,20,25,0,25,-20
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,2,BIGGIN HILL,LINZ,16,0,16,0,0,0,0
14/03/2025 11:46,2024,1,WESTERN EUROPE-EU,AUSTRIA,2,BIGGIN HILL,VIENNA,39,0,39,29,0,29,34.48276
