rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
3/14/2025 11:03:50 AM,2024,2023,1,1,London Area Airports,GATWICK,43249282,40897656,5.750026358,0,0,,265608,257778,3.037497381,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,1,London Area Airports,HEATHROW,83882140,79180434,5.937964422,0,0,,482143,463854,3.942835461,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,1,London Area Airports,LONDON CITY,3573250,3429684,4.185983315,0,0,,48888,50525,-3.239980208,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,1,London Area Airports,LUTON,16939902,16403784,3.268258104,0,0,,102597,100380,2.208607292,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,1,London Area Airports,SOUTHEND,287758,146072,96.997371159,0,0,,2007,994,101.911468813,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,1,London Area Airports,STANSTED,29694316,27951291,6.235937367,0,0,,188987,179193,5.465615286,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,ABERDEEN,1961111,1900776,3.174229893,339546,329142,3.160945732,33312,31887,4.468905824,27365,26162,4.598272303
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,BARRA,11064,12849,-13.892131683,0,0,,1367,1383,-1.156905278,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2391124,2115153,13.047330382,0,0,,30371,29373,3.397678140,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,BELFAST INTERNATIONAL,6750440,5957055,13.318409852,0,0,,51864,47748,8.620256346,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,BENBECULA,26494,30779,-13.921829819,0,0,,2090,2007,4.135525660,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,BIGGIN HILL,8353,6495,28.606620477,0,0,,1139,640,77.968750000,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,BIRMINGHAM,12848201,11481365,11.904821421,0,0,,88203,81049,8.826759121,0,0,
3/14/2025 11:03:50 AM,2024,2023,1,3,Other UK Airports,BLACKPOOL,0,0,,18729,14365,30.379394361,0,0,,4644,4030,15.235732010
