run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
02/09/2024 16:06,2023,ABERDEEN,CANADA,MONTREAL (DORVAL),TUI AIRWAYS LTD,D,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,0.000000,90
02/09/2024 16:06,2023,ABERDEEN,CANADA,TORONTO,SUNWING AIRLINES INC,A,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,100.000000,15
02/09/2024 16:06,2023,ABERDEEN,CANADA,TORONTO,TUI AIRWAYS LTD,D,S,1,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44,0,0.000000,
02/09/2024 16:06,2023,ABERDEEN,BULGARIA,BURGAS,BH AIR,A,C,13,0,0,0.000000,15.384615,61.538462,15.384615,7.692308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,17,76.470588,9
02/09/2024 16:06,2023,ABERDEEN,BULGARIA,BURGAS,BH AIR,D,C,13,0,0,0.000000,23.076923,46.153846,15.384615,15.384615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,17,41.176471,42
02/09/2024 16:06,2023,ABERDEEN,HUNGARY,BUDAPEST,WIZZ AIR,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,100.000000,8
02/09/2024 16:06,2023,ABERDEEN,LATVIA,RIGA,AIR BALTIC,A,S,34,0,0,0.000000,17.647059,44.117647,14.705882,8.823529,11.764706,2.941176,0.000000,0.000000,0.000000,0.000000,24,43,74.418605,24
02/09/2024 16:06,2023,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,S,34,0,0,0.000000,14.705882,47.058824,14.705882,2.941176,17.647059,2.941176,0.000000,0.000000,0.000000,0.000000,27,43,55.813953,30
02/09/2024 16:06,2023,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,127,0,1,27.343750,32.812500,12.500000,13.281250,7.031250,3.906250,2.343750,0.000000,0.000000,0.000000,0.781250,14,91,62.365591,24
02/09/2024 16:06,2023,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,127,0,1,3.125000,28.906250,32.812500,14.843750,11.718750,5.468750,2.343750,0.000000,0.000000,0.000000,0.781250,19,91,51.612903,33
